                                        Data Report
                                                                  File created on:2025-04-07 18:09:29

Model : RC-51H
S/N : EL2410001981
Firmware Version : V2.3
Trip Code : 0000001
Trip Description : Temperature recording.                                                                             
Start Mode : Press Button 
Logging Interval : 0:0:10
Start Delay : 0H0M
Repeat Start : Enable
Timezone : UTC +00:00
Stop Mode : Button Stop + Use Software
Light : Disable
Alarm Logging Interval Shorten : N/A
Mark Time : 
    N/A
First Reading : 2025-04-07 14:52:38
Last Reading : 2025-04-07 15:14:28
Current Readings : 132
Logging Duration : 0D 0H 21M 50S
Maximum : 25.7°C / 32.6%RH
Minimum : 21.8°C / 23.1%RH
Average : 24.0°C / 27.6%RH
Mean Kinetic Temperature (MKT) : 24.1°C
First Alarm(Temperature) : N/A
First Alarm(Humidity) : N/A

No.	Time		°C	%RH
1	2025-04-07 14:52:38	23.6	27.0	
2	2025-04-07 14:52:48	23.6	30.4	
3	2025-04-07 14:52:58	23.6	32.6	
4	2025-04-07 14:53:08	23.6	25.2	
5	2025-04-07 14:53:18	23.6	27.3	
6	2025-04-07 14:53:28	23.8	27.6	
7	2025-04-07 14:53:38	24.0	29.0	
8	2025-04-07 14:53:48	24.2	26.7	
9	2025-04-07 14:53:58	24.3	27.6	
10	2025-04-07 14:54:08	24.4	29.6	
11	2025-04-07 14:54:18	24.6	29.8	
12	2025-04-07 14:54:28	24.7	30.1	
13	2025-04-07 14:54:38	24.8	29.7	
14	2025-04-07 14:54:48	25.0	26.6	
15	2025-04-07 14:54:58	25.1	27.1	
16	2025-04-07 14:55:08	25.2	28.5	
17	2025-04-07 14:55:18	25.3	28.7	
18	2025-04-07 14:55:28	25.4	29.9	
19	2025-04-07 14:55:38	25.5	27.3	
20	2025-04-07 14:55:48	25.5	28.2	
21	2025-04-07 14:55:58	25.6	27.1	
22	2025-04-07 14:56:08	25.6	27.8	
23	2025-04-07 14:56:18	25.6	27.6	
24	2025-04-07 14:56:28	25.7	25.3	
25	2025-04-07 14:56:38	25.7	24.3	
26	2025-04-07 14:56:48	25.7	25.4	
27	2025-04-07 14:56:58	25.7	25.2	
28	2025-04-07 14:57:08	25.7	24.1	
29	2025-04-07 14:57:18	25.7	23.4	
30	2025-04-07 14:57:28	25.7	26.9	
31	2025-04-07 14:57:38	25.7	28.1	
32	2025-04-07 14:57:48	25.7	28.6	
33	2025-04-07 14:57:58	25.7	25.9	
34	2025-04-07 14:58:08	25.7	26.5	
35	2025-04-07 14:58:18	25.6	25.5	
36	2025-04-07 14:58:28	25.6	27.2	
37	2025-04-07 14:58:38	25.6	27.5	
38	2025-04-07 14:58:48	25.6	25.8	
39	2025-04-07 14:58:58	25.6	23.5	
40	2025-04-07 14:59:08	25.5	23.1	
41	2025-04-07 14:59:18	25.5	25.9	
42	2025-04-07 14:59:28	25.4	26.8	
43	2025-04-07 14:59:38	25.4	27.4	
44	2025-04-07 14:59:48	25.3	26.1	
45	2025-04-07 14:59:58	25.3	26.1	
46	2025-04-07 15:00:08	25.2	26.4	
47	2025-04-07 15:00:18	25.2	26.4	
48	2025-04-07 15:00:28	25.1	28.3	
